nombre,moneda,ultimo,dia_pct,mes_pct,anio_pct,fecha_vencimiento
AE38,USD,100.0,-1.49,-0.18,31.01,2038-01-09
AE38D,USD,75.3,0.29,1.76,5.57,2038-01-09
AL29,USD,100.0,-1.34,-1.36,17.16,2029-07-09
AL29D,USD,66.8,0.32,-0.21,-5.17,2029-07-09
AL30,USD,100.0,-1.32,-1.39,20.49,2030-07-09
AL30C,USD,63.15,0.32,0.24,5.5,2030-07-09
AL30D,USD,64.0,0.41,0.16,-3.07,2030-07-09
AL35,USD,100.0,-0.63,-0.94,33.51,2035-07-09
AL35D,USD,71.5,-0.57,-0.47,5.94,2035-07-09
AL41,USD,100.0,-1.54,-0.06,29.77,2041-07-09
AL41D,USD,67.44,0.43,2.65,4.82,2041-07-09
BA37D,USD,100.0,-0.86,-1.68,39.74,2037-07-09
BB37D,USD,100.0,0.66,-0.05,44.38,2037-07-09
BC37D,USD,100.0,-1.39,-3.4,30.63,2037-07-09
BDC28,USD,116.0,-1.32,0.43,39.47,2028-07-09
BOL10,USD,100.0,0.07,-4.16,20.31,2010-07-09
BPOA7,USD,100.0,-2.25,-3.1,35.91,2007-07-09
BPY26,USD,100.0,-1.48,-1.34,35.04,2026-07-09
GD29,USD,100.0,-1.69,0.29,19.49,2029-07-09
GD30,USD,100.0,-2.1,-1.85,23.53,2030-07-09
GD30C,USD,65.74,0.03,0.67,5.5,2030-07-09
GD30D,USD,66.85,0.21,0.68,-0.19,2030-07-09
GD35,USD,100.0,-1.42,-0.33,35.43,2035-07-09
GD35D,USD,74.0,0.54,1.12,8.98,2035-07-09
GD38,USD,100.0,-1.21,0.53,35.38,2038-01-09
GD38D,USD,77.92,0.65,2.53,8.64,2038-01-09
GD41,USD,100.0,-1.48,-0.47,32.81,2041-07-09
GD41D,USD,68.8,1.03,2.08,7.53,2041-07-09
GD46,USD,100.0,-0.67,-0.98,29.46,2046-07-09
GD46D,USD,68.9,0.03,1.03,2.87,2046-07-09
LOC30,USD,100.0,-0.11,-0.11,27.36,2030-07-09
SA24D,USD,100.0,0.01,0.02,34.44,2024-07-09
ZZC1D,USD,101.7,-1.55,0.25,5.5,2001-07-09
CO26,ARS,990.0,-1.78,-2.31,18.78,2026-07-09
CO26D,ARS,13.1,2.34,0.38,-2.38,2026-07-09
CUAP,ARS,990.0,0.14,0.95,18.94,2026-12-31
DICP,ARS,990.0,0.41,-0.05,33.28,2026-12-31
DIPO,ARS,990.0,2.32,2.81,28.25,2026-12-31
DNC3O,ARS,990.0,-2.06,-4.16,26.79,2003-07-09
MRCAO,ARS,990.0,0.05,5.46,-62.14,2026-12-31
MRCR0,ARS,990.0,22.84,-13.72,-53.28,2000-07-09
NDT25,ARS,990.0,-1.77,-0.5,17.03,2025-07-09
PAP0,ARS,990.0,-0.04,-1.23,20.92,2000-07-09
PARP,ARS,990.0,-0.73,1.76,21.94,2026-12-31
PBY26,USD,101.85,0.64,-10.66,28.29,2026-07-09
TLCQO,ARS,990.0,-0.98,-0.33,24.0,2026-12-31
TO26,ARS,89.43,0.08,0.15,16.04,2026-07-09
TVPA,ARS,990.0,-3.67,8.1,-11.73,2026-12-31
TVPP,ARS,15.99,-0.99,-2.2,-42.02,2026-12-31
TX26,ARS,990.0,-0.03,-35.01,-11.39,2026-07-09
TX26D,ARS,0.74,-0.76,-33.89,-28.17,2026-07-09
TX28,ARS,990.0,-2.06,-15.96,15.11,2028-07-09
TX28D,ARS,1.08,1.42,-14.96,-6.9,2028-07-09
TZV26,ARS,990.0,-1.56,-0.57,47.23,2026-07-09
TZXD5,ARS,236.45,0.42,0.75,36.28,2005-07-09
YM34O,ARS,990.0,-1.72,-2.26,24.0,2034-07-09
ZZC1O,ARS,990.0,-2.48,0.2,24.0,2001-07-09
